venue,total_matches,avg_first_innings,avg_second_innings,chase_wins,defend_wins,chase_success_rate,defend_success_rate,toss_bat_decisions,toss_bowl_decisions,high_scoring_matches
"BCCI Centre of Excellence Ground 1, Bengaluru",7,291.29,250.29,3,4,42.86,57.14,1,6,3
"KSCA Cricket Ground, Alur",7,285.29,267.29,5,2,71.43,28.57,0,7,2
"Niranjan Shah Stadium C, Rajkot",7,262.71,248.71,5,2,71.43,28.57,1,6,3
"Sanosara Cricket Ground B, Rajkot",7,308.0,279.29,4,3,57.14,42.86,1,6,4
"Niranjan Shah Stadium, Khandheri, Rajkot",7,332.57,261.86,2,5,28.57,71.43,2,5,6
"Sanosara Cricket Ground A, Rajkot",7,301.0,208.0,2,5,28.57,71.43,1,6,5
"Jaipuria Vidyalaya Ground, Jaipur",7,242.0,228.57,3,4,42.86,57.14,0,7,1
"Anantam Ground, Jaipur",7,263.71,238.0,4,3,57.14,42.86,2,5,3
"Sawai Mansingh Stadium, Jaipur",5,311.8,229.0,1,4,20.0,80.0,2,3,3
"KL Saini Ground, Jaipur",7,240.71,218.71,4,3,57.14,42.86,0,7,1
"KSCA Cricket (3) Ground, Alur",7,287.43,240.57,2,5,28.57,71.43,0,7,4
"BCCI Centre of Excellence Ground 3, Bengaluru",2,219.0,103.5,1,1,50.0,50.0,0,2,1
"KSCA Cricket (2) Ground, Alur",7,241.29,244.0,7,0,100.0,0.0,2,5,2
"BCCI Centre of Excellence Ground 2, Bengaluru",5,268.2,219.4,1,4,20.0,80.0,0,5,2
"Narendra Modi Stadium B Ground, Ahmedabad",7,300.43,253.86,3,4,42.86,57.14,0,7,2
"ADSA Railways Cricket Ground, Ahmedabad",7,281.14,237.57,3,4,42.86,57.14,5,2,2
"Narendra Modi Stadium, Ahmedabad",6,267.83,218.0,2,4,33.33,66.67,0,6,3
"Gujarat College Ground, Ahmedabad",7,304.43,236.14,4,3,57.14,42.86,3,4,4
"Dr Soni Stadium, Jaipur",2,234.0,233.5,1,1,50.0,50.0,1,1,0
"Narendra Modi Stadium A Ground, Ahmedabad",1,247.0,252.0,1,0,100.0,0.0,0,1,0
"Usha Martin Ground, Ranchi",5,224.0,227.6,5,0,100.0,0.0,3,2,0
"JSCA Oval Ground, Ranchi",5,335.4,214.6,2,3,40.0,60.0,4,1,2
"JSCA International Stadium Complex, Ranchi",6,234.17,220.17,4,2,66.67,33.33,0,6,0
